participantId,AoiId,AreaOfInterest,EntryTime,DwellTime,Revisits
501,12,4Aok5,0.0,0.0,0
501,11,4Aok4,0.0,0.0,0
501,10,4Aok2,0.0,0.0,0
501,9,4Aok3,0.0,0.0,0
501,8,4Ao5,0.0,0.0,0
501,7,4Ao4,0.0,0.0,0
501,6,4Ao3,0.0,0.0,0
501,5,4Ao2,0.0,0.0,0
501,4,4Ao1,0.0,0.0,0
501,3,4Az1,0.0,0.0,0
501,2,4Ak1,0.0,0.0,0
501,996,4Bvp1,0.0,0.0,0
