participantId,objectName,objectDwellFirstTime,objectDwellEndTime,objectDwellTotalTime,objectDwellValid,objectDwellPosX,objectDwellPosY,objectDwellPosZ,objectDwellDistance
501,Basic Wall:Cihla plná pálená 750mm:728921,25608.0,26152.0,544.0,1,32.90017,16.56098,28.02522,15.167627
501,4B_Auditorium_Sign,26164.0,26900.0,736.0,1,32.91503,16.57385,28.01246,1.2624986
501,Basic Wall:Cihla plná pálená 750mm:728921,26908.0,27000.0,92.0,1,32.91214,16.57542,28.00731,1.6696043
501,Wall_Part,27056.0,27232.0,176.0,1,32.91858,16.57409,28.03111,4.7393513
501,4I_Bars_Collider,27320.0,27452.0,132.0,1,32.91504,16.56833,28.04701,3.1494615
501,4I_Closing_Bars,27464.0,28108.0,644.0,1,32.91594,16.56663,28.04796,3.171843
501,4I_Bars_Collider,28120.0,30044.0,1924.0,1,32.9031,16.5647,27.7758,2.9020634
501,4I_Closing_Bars,30052.0,30440.0,388.0,1,33.52564,16.56473,26.58261,1.7571367
501,Wall_Part,30664.0,30860.0,196.0,1,32.12458,16.56134,27.22907,1.6001065
501,Basic Wall:Cihla plná pálená 750mm:728921,30896.0,31084.0,188.0,1,31.55091,16.56065,27.49478,11.4726
501,4C_Bench,31172.0,31472.0,300.0,1,31.43954,16.55907,27.74223,10.616572
501,Basic Wall:Cihla plná pálená 750mm:728921,31564.0,31708.0,144.0,1,30.46434,16.55962,27.42625,6.8963966
501,Wall_Part,32064.0,32284.0,220.0,1,29.02763,16.56077,27.06656,11.35063
501,Wall_Part,32396.0,32572.0,176.0,1,28.03767,16.56061,26.95366,9.33431
501,4D_Medium_Plant_10,32608.0,32796.0,188.0,1,27.38831,16.56079,26.93316,16.100521
501,Basic Wall:Cihla plná pálená 750mm:728921,32828.0,33348.0,520.0,1,26.73809,16.56109,26.91611,11.690599
501,4D_Hall_End,33396.0,33628.0,232.0,1,25.0344,16.562,26.89414,13.969119
501,4C_Evac_Arrow_1_NE,33716.0,33804.0,88.0,1,24.06005,16.56284,26.88626,8.986758
501,Wall_Part,33816.0,33948.0,132.0,1,23.76045,16.56295,26.88536,9.333476
501,4D_Hall_End,34016.0,34252.0,236.0,1,23.16141,16.56374,26.8842,12.119365
501,Basic Wall:Cihla plná pálená 750mm:728921,34372.0,34628.0,256.0,1,22.11174,16.56412,26.88461,7.1886144
501,4D_Hall_End,34640.0,35028.0,388.0,1,21.31088,16.56337,26.88342,6.798658
501,4E_Tree_1,35040.0,35372.0,332.0,1,20.10999,16.56301,26.8796,8.094601
501,4D_Hall_End,35416.0,35740.0,324.0,1,18.9626,16.56329,26.87483,8.005776
501,4E_Tree_1,35748.0,36604.0,856.0,1,17.96231,16.56292,26.87171,6.004432
501,sideDoorsNonSpecific,36636.0,36740.0,104.0,1,15.31618,16.56186,26.81073,5.6366925
501,Basic Wall:Cihla plná pálená 750mm:729120,36748.0,37004.0,256.0,1,14.97888,16.56183,26.73376,5.9312057
501,Wall_Part,37148.0,37348.0,200.0,1,14.06073,16.56133,26.11836,1.0868869
501,4F_Hall_End_NW,37360.0,37916.0,556.0,1,14.05745,16.56146,26.12254,16.831015
501,Wall_Part,37972.0,38260.0,288.0,1,12.86549,16.56079,26.00254,9.428847
501,4E_Window_1,38268.0,38504.0,236.0,1,12.80815,16.55999,25.1034,3.1528149
501,Wall_Part,38548.0,38824.0,276.0,1,12.76594,16.56027,24.27871,2.4941971
501,Wall_Part,38856.0,38992.0,136.0,1,12.71383,16.5612,23.35657,5.1315055
501,4F_Hall_End_NW,39068.0,39380.0,312.0,1,12.6929,16.56178,22.71154,13.437156
501,4F_Hall_End_NE,39548.0,39668.0,120.0,1,12.75235,16.56225,21.28551,10.327655
501,4E_Tree_2,39712.0,39932.0,220.0,1,12.76756,16.56248,20.785,2.050825
501,Basic Wall:Cihla plná pálená 750mm:729120,39944.0,40216.0,272.0,1,12.7288,16.56209,20.0851,3.8509398
501,sideDoorsNonSpecific,40224.0,40336.0,112.0,1,12.67794,16.56173,19.23482,4.5974016
501,4F_Hall_End_NW,40392.0,41612.0,1220.0,1,12.65105,16.56164,18.73538,9.395601
501,Basic Wall:Cihla plná pálená 750mm:750090,41624.0,42012.0,388.0,1,12.55712,16.56104,15.04738,6.3642755
501,4F_Hall_End_NW,42024.0,43192.0,1168.0,1,12.74331,16.56108,13.869,4.9120274
501,Basic Wall:Cihla plná pálená 750mm:750090,43280.0,43412.0,132.0,1,13.16474,16.56083,12.10612,7.1493635
501,4G_Bars_Collider_Right,43612.0,44900.0,1288.0,1,13.42878,16.55979,11.98016,17.454803
501,4K_Bars_Collider_right,44908.0,45164.0,256.0,1,17.1913,16.56277,11.10151,24.473925
501,4G_Bars_Collider,45176.0,45244.0,68.0,1,17.98841,16.56326,11.04262,12.933959
501,4K_Bars_Collider_right,45256.0,45412.0,156.0,1,18.21288,16.56337,11.02611,23.468136
501,4G_Bars_Collider_Right,45420.0,45556.0,136.0,1,18.71163,16.56355,10.99613,12.125681
501,4K_Bars_Collider_right,45564.0,45768.0,204.0,1,19.16205,16.56329,10.98714,22.498674
501,Wall_Part,45812.0,46288.0,476.0,1,19.88736,16.56352,10.97576,10.061392
501,4G_Window_2,46312.0,46476.0,164.0,1,21.38147,16.56351,10.96109,2.9526198
501,Wall_Part,46596.0,46832.0,236.0,1,22.23098,16.564,10.9488,5.041891
501,4G_Bars_Collider_Right,46844.0,47564.0,720.0,1,22.98326,16.56391,10.93345,8.048028
501,4G_Bars_Collider,47600.0,47732.0,132.0,1,25.22708,16.56327,10.73494,5.6758947
501,4K_Bars_Collider_right,47744.0,48088.0,344.0,1,25.6754,16.56322,10.71093,16.026155
501,4G_Bars_Collider,48144.0,48344.0,200.0,1,26.87572,16.56275,10.75175,4.054248
501,4G_Bars_Collider,48400.0,49056.0,656.0,1,27.62493,16.56264,10.74092,3.2657044
501,Column,49068.0,49364.0,296.0,1,29.65227,16.56034,10.64427,5.1375566
