participantId,datalossType,datalossStart,datalossEnd,datalossTime,datalossSegmentPercentile,datalossPercentage
501,single,20.5,20.512,0.012,21.48847,0.012578616
501,total,-1.0,-1.0,0.012,-1.0,0.012578616
